instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^GSPC,1,5,close>5SMA,nostop,2809,40.121039515841936,-0.3896095531932424,0.3897579433987229,-99.998859503018,49.936759263596755,-12.528606890908389,-25.088946651052666
^GSPC,1,5,close>5SMA,2xATR,3119,41.00673292722026,-0.31882844705758845,0.4675217797564575,-99.9969924068762,45.28505176371387,-11.35409199377212,-25.072494237204246
^GSPC,1,5,RSI>65,nostop,3241,35.08176488738044,-0.410968004385363,0.3361703811014606,-99.99988432365689,44.8306553614091,-14.861507909354232,-33.15032490501408
^GSPC,1,5,RSI>65,2xATR,3400,35.911764705882355,-0.3557815140764403,0.384770967137844,-99.99958312736355,42.970909261254505,-13.553666957593935,-31.54149444497523
^GSPC,1,5,time3d,nostop,2626,44.02132520944402,-0.28509946637396355,0.6197150952314252,-99.96501805225432,49.20597742071485,-8.875461729656386,-18.037364960298447
^GSPC,1,5,time3d,2xATR,2688,43.75,-0.21367009306834892,0.6880408576390019,-99.82470707269464,48.44708858387595,-6.906197171943029,-14.25513353601507
^GSPC,1,10,close>5SMA,nostop,2809,40.121039515841936,-0.3896095531932424,0.3897579433987229,-99.998859503018,49.936759263596755,-12.528606890908389,-25.088946651052666
^GSPC,1,10,close>5SMA,2xATR,3119,41.00673292722026,-0.31882844705758845,0.4675217797564575,-99.9969924068762,45.28505176371387,-11.35409199377212,-25.072494237204246
^GSPC,1,10,RSI>65,nostop,3241,35.08176488738044,-0.410968004385363,0.3361703811014606,-99.99988432365689,44.8306553614091,-14.861507909354232,-33.15032490501408
^GSPC,1,10,RSI>65,2xATR,3400,35.911764705882355,-0.3557815140764403,0.384770967137844,-99.99958312736355,42.970909261254505,-13.553666957593935,-31.54149444497523
^GSPC,1,10,time3d,nostop,2626,44.02132520944402,-0.28509946637396355,0.6197150952314252,-99.96501805225432,49.20597742071485,-8.875461729656386,-18.037364960298447
^GSPC,1,10,time3d,2xATR,2688,43.75,-0.21367009306834892,0.6880408576390019,-99.82470707269464,48.44708858387595,-6.906197171943029,-14.25513353601507
