cell,year,n_trades
2|5|close>5SMA|nostop,1983,5
2|5|close>5SMA|nostop,1985,2
2|5|close>5SMA|nostop,1986,1
2|5|close>5SMA|nostop,1987,6
2|5|close>5SMA|nostop,1988,1
2|5|close>5SMA|nostop,1989,10
2|5|close>5SMA|nostop,1990,2
2|5|close>5SMA|nostop,1991,6
2|5|close>5SMA|nostop,1992,7
2|5|close>5SMA|nostop,1993,12
2|5|close>5SMA|nostop,1994,5
2|5|close>5SMA|nostop,1995,30
2|5|close>5SMA|nostop,1996,43
2|5|close>5SMA|nostop,1997,61
2|5|close>5SMA|nostop,1998,70
2|5|close>5SMA|nostop,1999,82
2|5|close>5SMA|nostop,2000,51
2|5|close>5SMA|nostop,2002,6
2|5|close>5SMA|nostop,2003,92
2|5|close>5SMA|nostop,2004,121
2|5|close>5SMA|nostop,2005,203
2|5|close>5SMA|nostop,2006,175
2|5|close>5SMA|nostop,2007,207
2|5|close>5SMA|nostop,2009,99
2|5|close>5SMA|nostop,2010,141
2|5|close>5SMA|nostop,2011,198
2|5|close>5SMA|nostop,2012,252
2|5|close>5SMA|2xATR,1983,5
2|5|close>5SMA|2xATR,1985,2
2|5|close>5SMA|2xATR,1986,1
2|5|close>5SMA|2xATR,1987,6
2|5|close>5SMA|2xATR,1988,2
2|5|close>5SMA|2xATR,1989,10
2|5|close>5SMA|2xATR,1990,2
2|5|close>5SMA|2xATR,1991,6
2|5|close>5SMA|2xATR,1992,8
2|5|close>5SMA|2xATR,1993,12
2|5|close>5SMA|2xATR,1994,5
2|5|close>5SMA|2xATR,1995,30
2|5|close>5SMA|2xATR,1996,44
2|5|close>5SMA|2xATR,1997,61
2|5|close>5SMA|2xATR,1998,70
2|5|close>5SMA|2xATR,1999,82
2|5|close>5SMA|2xATR,2000,51
2|5|close>5SMA|2xATR,2002,6
2|5|close>5SMA|2xATR,2003,92
2|5|close>5SMA|2xATR,2004,121
2|5|close>5SMA|2xATR,2005,203
2|5|close>5SMA|2xATR,2006,176
2|5|close>5SMA|2xATR,2007,211
2|5|close>5SMA|2xATR,2009,99
2|5|close>5SMA|2xATR,2010,142
2|5|close>5SMA|2xATR,2011,198
2|5|close>5SMA|2xATR,2012,253
2|5|RSI>65|nostop,1983,5
2|5|RSI>65|nostop,1985,2
2|5|RSI>65|nostop,1986,1
2|5|RSI>65|nostop,1987,6
2|5|RSI>65|nostop,1988,1
2|5|RSI>65|nostop,1989,10
2|5|RSI>65|nostop,1990,2
2|5|RSI>65|nostop,1991,6
2|5|RSI>65|nostop,1992,7
2|5|RSI>65|nostop,1993,12
2|5|RSI>65|nostop,1994,5
2|5|RSI>65|nostop,1995,29
2|5|RSI>65|nostop,1996,43
2|5|RSI>65|nostop,1997,61
2|5|RSI>65|nostop,1998,70
2|5|RSI>65|nostop,1999,82
2|5|RSI>65|nostop,2000,51
2|5|RSI>65|nostop,2002,6
2|5|RSI>65|nostop,2003,92
2|5|RSI>65|nostop,2004,120
2|5|RSI>65|nostop,2005,203
2|5|RSI>65|nostop,2006,173
2|5|RSI>65|nostop,2007,206
2|5|RSI>65|nostop,2009,99
2|5|RSI>65|nostop,2010,141
2|5|RSI>65|nostop,2011,198
2|5|RSI>65|nostop,2012,252
2|5|RSI>65|2xATR,1983,5
2|5|RSI>65|2xATR,1985,2
2|5|RSI>65|2xATR,1986,1
2|5|RSI>65|2xATR,1987,6
2|5|RSI>65|2xATR,1988,2
2|5|RSI>65|2xATR,1989,10
2|5|RSI>65|2xATR,1990,2
2|5|RSI>65|2xATR,1991,6
2|5|RSI>65|2xATR,1992,8
2|5|RSI>65|2xATR,1993,12
2|5|RSI>65|2xATR,1994,5
2|5|RSI>65|2xATR,1995,29
2|5|RSI>65|2xATR,1996,44
2|5|RSI>65|2xATR,1997,61
2|5|RSI>65|2xATR,1998,70
2|5|RSI>65|2xATR,1999,82
2|5|RSI>65|2xATR,2000,51
2|5|RSI>65|2xATR,2002,6
2|5|RSI>65|2xATR,2003,92
2|5|RSI>65|2xATR,2004,121
2|5|RSI>65|2xATR,2005,203
2|5|RSI>65|2xATR,2006,174
2|5|RSI>65|2xATR,2007,210
2|5|RSI>65|2xATR,2009,99
2|5|RSI>65|2xATR,2010,142
2|5|RSI>65|2xATR,2011,198
2|5|RSI>65|2xATR,2012,253
2|5|RSI>70|nostop,1983,5
2|5|RSI>70|nostop,1985,2
2|5|RSI>70|nostop,1986,1
2|5|RSI>70|nostop,1987,6
2|5|RSI>70|nostop,1988,1
2|5|RSI>70|nostop,1989,10
2|5|RSI>70|nostop,1990,2
2|5|RSI>70|nostop,1991,6
2|5|RSI>70|nostop,1992,7
2|5|RSI>70|nostop,1993,12
2|5|RSI>70|nostop,1994,5
2|5|RSI>70|nostop,1995,29
2|5|RSI>70|nostop,1996,43
2|5|RSI>70|nostop,1997,61
2|5|RSI>70|nostop,1998,70
2|5|RSI>70|nostop,1999,82
2|5|RSI>70|nostop,2000,51
2|5|RSI>70|nostop,2002,6
2|5|RSI>70|nostop,2003,92
2|5|RSI>70|nostop,2004,120
2|5|RSI>70|nostop,2005,202
2|5|RSI>70|nostop,2006,173
2|5|RSI>70|nostop,2007,205
2|5|RSI>70|nostop,2009,98
2|5|RSI>70|nostop,2010,141
2|5|RSI>70|nostop,2011,196
2|5|RSI>70|nostop,2012,252
2|5|RSI>70|2xATR,1983,5
2|5|RSI>70|2xATR,1985,2
2|5|RSI>70|2xATR,1986,1
2|5|RSI>70|2xATR,1987,6
2|5|RSI>70|2xATR,1988,2
2|5|RSI>70|2xATR,1989,10
2|5|RSI>70|2xATR,1990,2
2|5|RSI>70|2xATR,1991,6
2|5|RSI>70|2xATR,1992,8
2|5|RSI>70|2xATR,1993,12
2|5|RSI>70|2xATR,1994,5
2|5|RSI>70|2xATR,1995,29
2|5|RSI>70|2xATR,1996,44
2|5|RSI>70|2xATR,1997,61
2|5|RSI>70|2xATR,1998,70
2|5|RSI>70|2xATR,1999,82
2|5|RSI>70|2xATR,2000,51
2|5|RSI>70|2xATR,2002,6
2|5|RSI>70|2xATR,2003,92
2|5|RSI>70|2xATR,2004,121
2|5|RSI>70|2xATR,2005,203
2|5|RSI>70|2xATR,2006,174
2|5|RSI>70|2xATR,2007,209
2|5|RSI>70|2xATR,2009,98
2|5|RSI>70|2xATR,2010,142
2|5|RSI>70|2xATR,2011,196
2|5|RSI>70|2xATR,2012,253
2|5|time5d|nostop,1983,5
2|5|time5d|nostop,1985,2
2|5|time5d|nostop,1986,1
2|5|time5d|nostop,1987,6
2|5|time5d|nostop,1988,2
2|5|time5d|nostop,1989,10
2|5|time5d|nostop,1990,2
2|5|time5d|nostop,1991,6
2|5|time5d|nostop,1992,8
2|5|time5d|nostop,1993,12
2|5|time5d|nostop,1994,5
2|5|time5d|nostop,1995,30
2|5|time5d|nostop,1996,43
2|5|time5d|nostop,1997,61
2|5|time5d|nostop,1998,70
2|5|time5d|nostop,1999,82
2|5|time5d|nostop,2000,51
2|5|time5d|nostop,2002,6
2|5|time5d|nostop,2003,92
2|5|time5d|nostop,2004,121
2|5|time5d|nostop,2005,203
2|5|time5d|nostop,2006,175
2|5|time5d|nostop,2007,208
2|5|time5d|nostop,2009,99
2|5|time5d|nostop,2010,141
2|5|time5d|nostop,2011,198
2|5|time5d|nostop,2012,255
2|5|time5d|2xATR,1983,5
2|5|time5d|2xATR,1985,2
2|5|time5d|2xATR,1986,1
2|5|time5d|2xATR,1987,6
2|5|time5d|2xATR,1988,2
2|5|time5d|2xATR,1989,10
2|5|time5d|2xATR,1990,2
2|5|time5d|2xATR,1991,6
2|5|time5d|2xATR,1992,8
2|5|time5d|2xATR,1993,12
2|5|time5d|2xATR,1994,5
2|5|time5d|2xATR,1995,30
2|5|time5d|2xATR,1996,44
2|5|time5d|2xATR,1997,61
2|5|time5d|2xATR,1998,70
2|5|time5d|2xATR,1999,82
2|5|time5d|2xATR,2000,51
2|5|time5d|2xATR,2002,6
2|5|time5d|2xATR,2003,92
2|5|time5d|2xATR,2004,121
2|5|time5d|2xATR,2005,203
2|5|time5d|2xATR,2006,175
2|5|time5d|2xATR,2007,211
2|5|time5d|2xATR,2009,99
2|5|time5d|2xATR,2010,142
2|5|time5d|2xATR,2011,198
2|5|time5d|2xATR,2012,256
2|10|close>5SMA|nostop,1982,3
2|10|close>5SMA|nostop,1983,6
2|10|close>5SMA|nostop,1985,3
2|10|close>5SMA|nostop,1986,2
2|10|close>5SMA|nostop,1987,10
2|10|close>5SMA|nostop,1988,1
2|10|close>5SMA|nostop,1989,14
2|10|close>5SMA|nostop,1990,6
2|10|close>5SMA|nostop,1991,15
2|10|close>5SMA|nostop,1992,19
2|10|close>5SMA|nostop,1993,28
2|10|close>5SMA|nostop,1994,13
2|10|close>5SMA|nostop,1995,65
2|10|close>5SMA|nostop,1996,105
2|10|close>5SMA|nostop,1997,150
2|10|close>5SMA|nostop,1998,147
2|10|close>5SMA|nostop,1999,181
2|10|close>5SMA|nostop,2000,145
2|10|close>5SMA|nostop,2002,16
2|10|close>5SMA|nostop,2003,241
2|10|close>5SMA|nostop,2004,315
2|10|close>5SMA|nostop,2005,462
2|10|close>5SMA|nostop,2006,382
2|10|close>5SMA|nostop,2007,468
2|10|close>5SMA|nostop,2009,300
2|10|close>5SMA|nostop,2010,393
2|10|close>5SMA|nostop,2011,446
2|10|close>5SMA|nostop,2012,594
2|10|close>5SMA|2xATR,1982,3
