arm,window,metric,current,pit,delta
nostop,insample,expectancy%,0.569,0.53,-0.04
nostop,insample,profit_factor,1.536,1.528,-0.008
nostop,insample,win_rate%,68.6,67.8,-0.9
nostop,insample,trade_count,4496.0,3896.0,-600.0
nostop,oos,expectancy%,0.276,0.185,-0.091
nostop,oos,profit_factor,1.262,1.178,-0.084
nostop,oos,win_rate%,67.0,66.3,-0.7
nostop,oos,trade_count,8877.0,7978.0,-899.0
2xATR,insample,expectancy%,0.281,0.256,-0.025
2xATR,insample,profit_factor,1.214,1.205,-0.009
2xATR,insample,win_rate%,67.0,66.2,-0.8
2xATR,insample,trade_count,4554.0,3936.0,-618.0
2xATR,oos,expectancy%,0.107,0.045,-0.062
2xATR,oos,profit_factor,1.09,1.039,-0.051
2xATR,oos,win_rate%,65.2,64.6,-0.6
2xATR,oos,trade_count,9022.0,8112.0,-910.0
